#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.2543641,1.20E-05,18.82666,0.008982399,0.02852239,18.58927,0.009318373,0.01973166
GALAXY,0.1215592,2.92E-05,18.46377,0.01042189,0.05535347,17.44901,0.006821736,0.03829327
GALAXY,0.02389796,5.62E-06,16.76672,0.007654828,0.0370143,16.3798,0.007715396,0.02560632
GALAXY,0.1459874,4.20E-05,18.85649,0.01280548,0.1609477,17.71455,0.008000311,0.1113429
GALAXY,0.1589952,1.41E-05,18.37712,0.01009555,0.08577652,17.58671,0.007569824,0.0593398
GALAXY,0.05387435,3.23E-05,19.06746,0.02705101,1.173416,18.36629,0.02968882,0.8117635
GALAXY,0.07636304,9.45E-06,18.18049,0.008283115,0.1934822,17.39317,0.006413626,0.1338501
GALAXY,0.3570323,8.62E-05,20.28557,0.03772827,0.07226243,18.60581,0.0140699,0.04999081
GALAXY,0.1064273,3.70E-05,18.11876,0.008386119,0.1047547,17.27124,0.006199954,0.07246885
GALAXY,0.07188617,2.06E-05,18.08418,0.03214144,0.1962782,17.55601,0.01097829,0.1357844
GALAXY,0.05481368,2.09E-05,17.13501,0.005030647,0.1435178,16.18091,0.003648037,0.09928495
GALAXY,0.5443621,0.000117773,22.17286,0.1187361,0.1207938,20.58231,0.04316722,0.08356456
GALAXY,0.4389932,7.48E-05,21.54348,0.08608405,0.1550549,19.63995,0.02730645,0.1072662
GALAXY,0.0381741,7.59E-06,15.42428,0.00303341,0.1023146,14.74794,0.00257884,0.07078078
GALAXY,0.1484073,3.31E-05,18.65467,0.009786095,0.08581286,17.57286,0.006309115,0.05936494
GALAXY,0.1923064,1.30E-05,19.17299,0.01285641,0.1694495,18.41107,0.01033434,0.1172244
GALAXY,0.06881496,1.35E-05,18.14721,0.009033068,0.158594,17.24154,0.006577386,0.1097146
GALAXY,0.09625461,1.13E-05,18.21091,0.00988997,0.1290941,17.65605,0.009112176,0.08930673
QSO,2.550539,0.00073672,21.99141,0.07454471,0.2345073,22.01266,0.106554,0.1622311
GALAXY,0.06908277,1.47E-05,17.14946,0.004823423,0.08156052,16.26071,0.003757891,0.05642319
GALAXY,0.1656152,2.51E-05,18.07532,0.008100787,0.1657811,16.835,0.004798735,0.1146866
GALAXY,0.3027451,4.68E-05,20.20847,0.04431894,0.1428728,18.6146,0.01686549,0.09883875
GALAXY,0.4443937,1.44E-05,21.38687,0.04922149,0.07506686,21.0764,0.0626952,0.05193091
GALAXY,0.3018653,3.97E-05,20.24845,0.03550535,0.05134201,18.59269,0.01410084,0.03551816
GALAXY,0.5335436,0.000117696,20.70989,0.09111883,0.04569092,19.27305,0.04091154,0.03160877
QSO,1.714866,0.000287447,19.71087,0.01396856,0.06465053,19.65788,0.0175972,0.04472493
GALAXY,0.6021373,0.000149713,22.22309,0.1751822,0.01854344,20.5917,0.06095834,0.01282826
GALAXY,0.505961,0.000130784,21.77706,0.1092999,0.02533464,20.22837,0.04473609,0.01752638
QSO,3.801051,0.000340461,21.23136,0.03823663,0.1128044,19.9685,0.02094777,0.07803757
GALAXY,0.4650679,0.000123937,21.66677,0.08082265,0.04757923,19.96699,0.02937181,0.03291509
QSO,0.5527317,0.000193037,18.69821,0.008300875,0.04493718,18.78359,0.01024092,0.03108733
QSO,0.6566484,0.000168267,21.07252,0.06658084,0.1101753,20.51119,0.06292773,0.07621878
GALAXY,0.3363784,7.05E-05,20.09347,0.03513041,0.08355077,18.36155,0.0128868,0.05780003
GALAXY,0.2820781,3.32E-05,19.90844,0.01945788,0.04493777,19.15388,0.01533366,0.03108774
GALAXY,0.4078926,9.80E-05,21.27253,0.08199111,0.06795376,19.50228,0.03040441,0.0470101
QSO,2.591246,0.001475426,21.13965,0.04112566,0.02916714,21.00901,0.0528495,0.02017769
GALAXY,0.1132667,2.82E-05,18.28463,0.007413018,0.06729383,17.20741,0.00505251,0.04655356
GALAXY,0.6972304,0.000238646,22.13626,0.4060381,0.1050195,20.03509,0.0891474,0.07265203
GALAXY,0.09527868,8.91E-06,17.08657,0.007349777,0.1076466,16.6042,0.006494767,0.07446943
GALAXY,0.1839072,3.28E-05,18.624,0.01745982,0.1793341,17.56825,0.01137241,0.1240625
GALAXY,0.6769204,0.000227443,24.00051,0.7083305,0.09169738,21.69924,0.1371081,0.06343582
GALAXY,0.3432884,4.59E-05,20.03723,0.04343062,0.1311516,18.37043,0.01538308,0.09073005
GALAXY,0.1662405,2.66E-05,18.77051,0.01295256,0.1176776,17.61246,0.007629572,0.08140881
GALAXY,0.3162958,8.20E-05,20.74472,0.05953556,0.1078097,19.01951,0.02124102,0.07458226
GALAXY,0.02585078,3.10E-05,16.60054,0.005632035,0.0990883,15.93759,0.005031236,0.06854883
GALAXY,0.03715967,5.83E-06,17.64011,0.007992308,0.130034,17.16945,0.00714697,0.08995691
GALAXY,0.1854339,4.90E-05,19.05486,0.02236885,0.2037641,17.74159,0.01007833,0.1409631
GALAXY,0.4043316,0.000107878,22.45387,0.2299805,0.1153205,20.5876,0.05604601,0.07977819
GALAXY,0.1530212,3.37E-05,18.47293,0.01384579,0.1013186,17.32779,0.007718597,0.07009172
GALAXY,0.2698346,7.75E-05,20.9831,0.05198081,0.188707,19.39809,0.02083893,0.1305466
