#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.06716968,7.73E-06,17.17733,0.006512404,0.1430703,16.73327,0.005696784,0.09897535
QSO,3.699349,0.000346141,19.83318,0.01532052,0.07920002,18.85532,0.01040839,0.05479021
GALAXY,0.4843066,0.000130921,21.5702,0.09889027,0.09952307,20.04643,0.03604653,0.0688496
GALAXY,0.5575078,0.000147339,22.67739,0.2705756,0.07440774,20.26817,0.04802532,0.05147493
QSO,2.434355,0.000430165,21.24532,0.04294096,0.08694018,21.03735,0.04944436,0.06014481
GALAXY,0.038184,1.14E-05,16.18559,0.003402158,0.06821583,15.3607,0.002868739,0.0471914
GALAXY,0.2149999,3.00E-05,18.63425,0.009553677,0.060184,17.38548,0.005932727,0.04163501
GALAXY,0.5289551,0.000165504,21.47943,0.128066,0.02592391,19.94592,0.05349069,0.01793404
QSO,2.433765,0.000821589,21.74301,0.05172015,0.09334138,21.7503,0.07276634,0.06457313
QSO,1.851836,0.000152686,18.58197,0.007372966,0.2088707,18.51498,0.008093475,0.1444958
GALAXY,0.02312812,1.16E-05,17.17878,0.005823367,0.05712505,16.61899,0.005154612,0.03951885
GALAXY,0.06563459,2.46E-05,17.27865,0.007731093,0.1561223,16.36591,0.005380718,0.1080047
GALAXY,0.6902915,0.000193669,23.23316,0.3752848,0.1121887,21.35723,0.1021818,0.0776116
GALAXY,0.178827,2.81E-05,19.0374,0.01360528,0.3646132,17.75268,0.007564814,0.2522378
GALAXY,0.08135492,2.05E-05,16.42866,0.004692982,0.1036811,15.55175,0.003624567,0.0717261
GALAXY,0.4792081,0.000124042,22.06564,0.1317387,0.1405464,20.40793,0.04530742,0.09722937
GALAXY,0.5514702,0.000260299,22.88933,0.2937331,0.05740096,20.76958,0.07299915,0.03970972
QSO,1.58614,0.000438749,21.2543,0.03914982,0.06416593,20.90026,0.04031314,0.04438969
GALAXY,0.08012688,1.29E-05,17.53665,0.006401003,0.04733945,16.81467,0.00536196,0.03274921
QSO,0.7475086,5.87E-05,18.13268,0.00608642,0.035787,17.98677,0.006544197,0.02475728
QSO,0.7688248,7.85E-05,20.89094,0.03720014,0.1058828,20.86986,0.04771771,0.07324921
GALAXY,0.4718265,8.30E-05,22.35891,0.2346443,0.1723897,20.43962,0.06601778,0.1192584
QSO,0.8325497,0.000203748,20.10927,0.01878928,0.1695694,19.97772,0.02213003,0.1173073
GALAXY,0.03549611,6.65E-06,18.00524,0.008525185,0.04600976,17.66352,0.009276859,0.03182934
GALAXY,0.1920292,4.65E-05,18.63435,0.01263336,0.0379126,17.70865,0.00921602,0.02622776
QSO,0.8214999,0.00018999,18.32514,0.006410326,0.05904487,18.31216,0.007533884,0.04084697
QSO,2.248214,0.000481358,21.23022,0.04663059,0.08197058,21.25104,0.06170004,0.05670687
QSO,0.7327334,0.000359471,21.43563,0.05406476,0.07626954,21.41649,0.07353216,0.05276292
QSO,0.8806789,0.000249718,20.58419,0.02663831,0.05474335,20.46238,0.03346322,0.0378712
QSO,2.395152,0.000541351,20.54461,0.02915533,0.1046152,20.35649,0.03410144,0.0723723
GALAXY,0.06362419,8.90E-06,18.06919,0.009493265,0.1722455,17.54395,0.008815582,0.1191586
GALAXY,0.1592998,3.94E-05,18.90463,0.01507717,0.130002,17.74861,0.008779485,0.08993479
GALAXY,0.08338965,2.86E-05,18.57946,0.008578845,0.1430688,17.62304,0.006119734,0.09897432
QSO,1.985233,0.000229346,20.82282,0.03660663,0.03660949,20.77948,0.04059595,0.02532627
GALAXY,0.3647321,0.000105194,20.8937,0.05885861,0.09014738,19.01467,0.01708719,0.06236354
GALAXY,0.0966485,1.91E-05,17.82335,0.006180541,0.09955548,17.00404,0.00464131,0.06887203
GALAXY,0.5325535,0.00020089,21.38275,0.08487255,0.1347622,19.99467,0.03498194,0.09322787
GALAXY,0.1501451,3.82E-05,18.76943,0.01101988,0.1047161,17.60266,0.00654283,0.07244208
QSO,0.9925108,0.000274405,22.04968,0.07746217,0.05396444,21.31997,0.05843174,0.03733235
GALAXY,0.03898064,8.75E-06,16.78862,0.004550177,0.1507685,16.03304,0.00373342,0.104301
GALAXY,0.1279599,2.31E-05,18.49809,0.008855821,0.04961302,17.47597,0.005893732,0.03432206
GALAXY,0.5542759,0.000226803,22.9737,0.2407837,0.02926981,21.32099,0.08229154,0.02024872
GALAXY,0.1448517,3.22E-05,19.32302,0.01407777,0.05246287,18.28105,0.009302468,0.03629357
GALAXY,0.670767,0.000195465,22.10793,0.2029708,0.1151012,20.90221,0.09425662,0.07962649
GALAXY,0.02423961,1.02E-05,15.90546,0.003288381,0.2079002,15.14251,0.002703181,0.1438244
GALAXY,0.2289164,0.000129006,21.86836,0.09988308,0.1811812,20.24118,0.03835918,0.1253403
GALAXY,0.135331,9.51E-06,17.6265,0.007318208,0.1786769,17.03958,0.006565512,0.1236079
GALAXY,0.1366525,3.45E-05,18.77206,0.01141786,0.05807989,17.65762,0.007039371,0.0401794
GALAXY,0.02161518,7.15E-06,17.49864,0.006414317,0.04933603,17.15058,0.00753856,0.03413044
